company name,stock code,timestamp,value
VODAFONE GROUP PLC,VOD,2025-12-19T16:49:58,"GBX 3,060.62"
LLOYDS BANKING GROUP PLC,LLOY,2025-12-19T16:49:59,"GBX 10,610.01"
HSBC HOLDINGS PLC,HSBA,2025-12-19T16:49:59,"GBX 21,367.77"
GLENCORE PLC,GLEN,2025-12-19T17:10:17,EUR 115.44
BT GROUP PLC,BT.A,2025-12-19T16:44:05,"GBX 749,333.12"
BARCLAYS PLC,BARC,2025-12-19T16:44:04,"GBX 3,581,797.89"
CENTRICA PLC,CNA,2025-12-19T16:47:17,"GBX 197,217.6"
BP PLC,BP.,2025-12-19T17:03:16,"GBX 73,159.77"
OCADO GROUP PLC,OCDO,2025-12-19T16:47:10,"GBX 51,570.74"
BURBERRY GROUP PLC,BRBY,2025-12-19T16:44:05,"GBX 943,094.81"
NON EXISTING COMPANY LLC,NON,N/A,N/A
